Date,LCOc1,NBRNCSF,USO,D-AASFA00,WCESTUS1,WCEIMP42,WRPEXUS2_4WEEK_AVG,WDISTP31,W_EPC0_SKA_NUS_MBBL,LLCPMLC,WTLM1UC,WD0ST_R30_1,WCESTP21,NBRORLF,LLCSWLF,HOc1,WDIST1C1,WCRNTUS2,GPRD,WCRRIUS2_4WEEK_AVG,LLCMMSF,USIPENERP,WCESTP51,WCESTP11,NBRSWLC,RBc1-CLc1,HOc1-CLc1,NBRTRLC,WCESTP31,WPESCUS2_4WEEK_AVG,WTTNTUS2,NBRNCLF,WTTEXUS2,WCREXUS2_4WEEK_AVG,LLCC.01-LLCC.02,WCRIMUS2_4WEEK_AVG,GPRD_ACT
2025-10-15,61.91,64573,68.99,92.0,423785.0,303.0,7059.0,44688.0,3889.0,1252935.0,-4.05,37403.0,102024.0,29675.0,438672.0,2.175,10188.0,1059.0,184.887,16018.0,145608.0,9217.533,45988.0,8089.0,32594,18.77,33.07,227938,244582.0,-72.0,-4249.0,38805,11466.0,4073.0,0.27999999999999403,6064.0,122.879
2025-10-16,61.06,64573,67.81,91.0,423785.0,303.0,7059.0,44688.0,3889.0,1252935.0,-4.05,37403.0,102024.0,29675.0,438672.0,2.154,10188.0,1059.0,180.835,16018.0,145608.0,9217.533,45988.0,8089.0,32594,18.63,32.99,227938,244582.0,-72.0,-4249.0,38805,11466.0,4073.0,0.2700000000000031,6064.0,114.723
2025-10-17,61.29,64573,67.98,92.5,422824.0,488.0,7103.0,45086.0,3869.0,1252935.0,-4.07,37565.0,101606.0,29675.0,438672.0,2.18,10481.0,1715.0,154.727,15831.0,145608.0,9217.533,45773.0,7633.0,32594,19.64,34.02,227938,244299.0,-192.0,-4282.0,38805,11556.0,4003.0,0.18999999999999773,5920.0,196.319
2025-10-20,61.01,64573,67.83,93.5,422824.0,488.0,7103.0,45086.0,3869.0,1252935.0,-4.0,37565.0,101606.0,29675.0,438672.0,2.192,10481.0,1715.0,161.796,15831.0,145608.0,9217.533,45773.0,7633.0,32594,19.35,34.55,227938,244299.0,-192.0,-4282.0,38805,11556.0,4003.0,0.12999999999999545,5920.0,271.66
2025-10-21,61.32,64573,68.27,93.5,422824.0,488.0,7103.0,45086.0,3869.0,1355407.0,-4.03,37565.0,101606.0,29675.0,454451.0,2.206,10481.0,1715.0,194.857,15831.0,190639.0,9217.533,45773.0,7633.0,32594,19.35,34.55,227938,244299.0,-192.0,-4282.0,38805,11556.0,4003.0,0.28999999999999915,5920.0,161.881
2025-10-22,62.59,64573,70.63,91.0,422824.0,488.0,7103.0,45086.0,3869.0,1355407.0,-4.05,37565.0,101606.0,29675.0,454451.0,2.25,10481.0,1715.0,111.749,15831.0,190639.0,9217.533,45773.0,7633.0,32594,17.49,35.06,227938,244299.0,-192.0,-4282.0,38805,11556.0,4003.0,0.36000000000000654,5920.0,111.405
2025-10-23,65.99,64573,73.29,84.0,422824.0,488.0,7103.0,45086.0,3869.0,1355407.0,-4.16,37565.0,101606.0,29675.0,454451.0,2.403,10481.0,1715.0,207.534,15831.0,190639.0,9217.533,45773.0,7633.0,32594,16.87,37.92,227938,244299.0,-192.0,-4282.0,38805,11556.0,4003.0,0.6999999999999886,5920.0,159.15
2025-10-24,65.94,64573,73.18,86.5,415966.0,361.0,6957.0,45663.0,5275.0,1355407.0,-4.38,38079.0,103747.0,29675.0,454451.0,2.403,9832.0,690.0,164.843,15594.0,190639.0,9217.533,46482.0,8063.0,32594,16.98,38.43,227938,234313.0,-681.0,-4336.0,38805,11027.0,4155.0,0.7399999999999949,5724.0,109.557
2025-10-27,65.62,64573,73.12,91.5,415966.0,361.0,6957.0,45663.0,5275.0,1355407.0,-4.31,38079.0,103747.0,29675.0,454451.0,2.436,9832.0,690.0,172.98,15594.0,190639.0,9217.533,46482.0,8063.0,32594,17.06,39.91,227938,234313.0,-681.0,-4336.0,38805,11027.0,4155.0,0.7199999999999989,5724.0,137.958
2025-10-28,64.4,64573,71.39,94.0,415966.0,361.0,6957.0,45663.0,5275.0,1270457.0,-4.24,38079.0,103747.0,29675.0,457940.0,2.387,9832.0,690.0,155.404,15594.0,125377.0,9217.533,46482.0,8063.0,32594,18.11,39.11,227938,234313.0,-681.0,-4336.0,38805,11027.0,4155.0,0.5700000000000074,5724.0,195.696
2025-10-29,64.92,64573,71.8,104.0,415966.0,361.0,6957.0,45663.0,5275.0,1270457.0,-4.38,38079.0,103747.0,29675.0,457940.0,2.424,9832.0,690.0,130.055,15594.0,125377.0,9217.533,46482.0,8063.0,32594,18.93,40.2,227938,234313.0,-681.0,-4336.0,38805,11027.0,4155.0,0.6000000000000085,5724.0,183.041
2025-10-30,65.0,64573,71.71,130.5,415966.0,361.0,6957.0,45663.0,5275.0,1270457.0,-4.4,38079.0,103747.0,29675.0,457940.0,2.46,9832.0,690.0,159.322,15594.0,125377.0,9217.533,46482.0,8063.0,32594,18.92,40.62,227938,234313.0,-681.0,-4336.0,38805,11027.0,4155.0,0.6299999999999955,5724.0,105.888
2025-10-31,65.07,64573,72.56,118.0,421168.0,473.0,7011.0,45675.0,3229.0,1270457.0,-4.33,38259.0,104511.0,29675.0,457940.0,2.431,11062.0,1557.0,181.015,15334.0,125377.0,9217.533,47434.0,8119.0,32594,18.85,39.76,227938,237478.0,-667.0,-3767.0,38805,11393.0,4349.0,0.29999999999999716,5605.0,168.427
2025-11-03,64.89,64573,72.74,118.0,421168.0,473.0,7011.0,45675.0,3229.0,1270457.0,-4.12,38259.0,104511.0,29675.0,457940.0,2.405,11062.0,1557.0,272.175,15334.0,125377.0,9217.533,47434.0,8119.0,32594,19.43,39.97,227938,237478.0,-667.0,-3767.0,38805,11393.0,4349.0,0.45000000000000284,5605.0,410.315
2025-11-04,64.44,64573,71.93,118.0,421168.0,473.0,7011.0,45675.0,3229.0,1216027.0,-4.14,38259.0,104511.0,29675.0,450766.0,2.445,11062.0,1557.0,132.782,15334.0,140237.0,9217.533,47434.0,8119.0,32594,20.2,42.11,227938,237478.0,-667.0,-3767.0,38805,11393.0,4349.0,0.37000000000000455,5605.0,167.209
2025-11-05,63.52,64573,71.03,106.5,421168.0,473.0,7011.0,45675.0,3229.0,1216027.0,-4.11,38259.0,104511.0,29675.0,450766.0,2.433,11062.0,1557.0,125.878,15334.0,140237.0,9217.533,47434.0,8119.0,32594,20.59,42.57,227938,237478.0,-667.0,-3767.0,38805,11393.0,4349.0,0.28000000000000114,5605.0,105.676
2025-11-06,63.38,64573,70.88,100.0,421168.0,473.0,7011.0,45675.0,3229.0,1216027.0,-4.07,38259.0,104511.0,29675.0,450766.0,2.496,11062.0,1557.0,84.273,15334.0,140237.0,9217.533,47434.0,8119.0,32594,23.13,45.41,227938,237478.0,-667.0,-3767.0,38805,11393.0,4349.0,0.3100000000000023,5605.0,90.476
2025-11-07,63.63,64573,71.26,109.0,427581.0,335.0,7063.0,44875.0,4664.0,1216027.0,-4.03,37207.0,103925.0,29675.0,450766.0,2.482,11718.0,2406.0,96.366,15545.0,140237.0,9217.533,47527.0,8303.0,32594,21.74,44.5,227938,243315.0,-740.0,-3143.0,38805,10024.0,3937.0,0.240000000000002,5529.0,108.078
