date,D-PCAAT00
2008-01-01,89.220
2008-01-02,89.220
2008-01-03,92.025
2008-01-04,92.600
2008-01-07,91.570
2008-01-08,90.170
2008-01-09,90.600
2008-01-10,89.030
2008-01-11,87.770
2008-01-14,86.920
2008-01-15,87.970
2008-01-16,85.820
2008-01-17,85.870
2008-01-18,85.010
2008-01-21,84.420
2008-01-22,81.750
2008-01-23,84.380
2008-01-24,83.330
2008-01-25,85.710
2008-01-28,85.820
2008-01-29,86.930
2008-01-30,87.780
2008-01-31,87.395
2008-02-01,87.100
2008-02-04,85.570
2008-02-05,85.920
2008-02-06,84.130
2008-02-07,84.130
2008-02-08,84.130
2008-02-11,87.290
2008-02-12,88.620
2008-02-13,88.560
2008-02-14,89.210
2008-02-15,90.280
2008-02-18,90.390
2008-02-19,90.900
2008-02-20,92.760
2008-02-21,92.950
2008-02-22,91.020
2008-02-25,92.220
2008-02-26,91.980
2008-02-27,94.280
2008-02-28,92.530
2008-02-29,94.700
2008-03-03,95.070
2008-03-04,95.720
2008-03-05,92.900
2008-03-06,95.780
2008-03-07,96.130
2008-03-10,96.000
2008-03-11,96.920
2008-03-12,97.680
2008-03-13,98.830
2008-03-14,100.170
2008-03-17,101.080
2008-03-18,96.870
2008-03-19,99.400
2008-03-20,94.000
2008-03-21,94.000
2008-03-24,94.220
2008-03-25,94.820
2008-03-26,95.630
2008-03-27,98.280
2008-03-28,98.230
2008-03-31,97.410
2008-04-01,94.430
2008-04-02,95.080
2008-04-03,97.040
2008-04-04,96.700
2008-04-07,98.800
2008-04-08,100.370
2008-04-09,99.590
2008-04-10,102.180
2008-04-11,102.120
2008-04-14,101.670
2008-04-15,103.230
2008-04-16,104.700
2008-04-17,106.420
2008-04-18,106.000
2008-04-21,107.800
2008-04-22,107.900
2008-04-23,109.530
2008-04-24,109.330
2008-04-25,106.750
2008-04-28,110.200
2008-04-29,108.745
2008-04-30,106.480
2008-05-01,106.480
2008-05-02,104.890
2008-05-05,109.800
2008-05-06,113.250
2008-05-07,114.950
2008-05-08,116.350
2008-05-09,118.300
2008-05-12,120.120
2008-05-13,118.260
2008-05-14,119.490
2008-05-15,119.170
2008-05-16,118.405
2008-05-19,118.405
2008-05-20,120.250
2008-05-21,123.750
2008-05-22,128.980
2008-05-23,126.210
2008-05-26,126.260
2008-05-27,126.560
2008-05-28,120.900
2008-05-29,123.890
2008-05-30,120.155
2008-06-02,120.800
2008-06-03,122.220
2008-06-04,118.820
2008-06-05,117.800
2008-06-06,122.850
2008-06-09,130.750
2008-06-10,127.600
2008-06-11,127.530
2008-06-12,130.050
2008-06-13,130.800
2008-06-16,128.730
2008-06-17,129.380
2008-06-18,128.200
2008-06-19,130.300
2008-06-20,127.040
2008-06-23,130.000
2008-06-24,130.870
2008-06-25,130.750
2008-06-26,128.280
2008-06-27,135.080
2008-06-30,136.325
2008-07-01,136.470
2008-07-02,136.800
2008-07-03,140.450
2008-07-04,140.770
2008-07-07,138.850
2008-07-08,137.520
2008-07-09,134.150
2008-07-10,132.800
2008-07-11,139.050
2008-07-14,139.050
2008-07-15,140.240
2008-07-16,134.050
2008-07-17,131.100
2008-07-18,128.100
2008-07-21,127.580
2008-07-22,128.930
2008-07-23,123.540
2008-07-24,120.850
2008-07-25,122.490
2008-07-28,121.200
2008-07-29,122.350
2008-07-30,119.800
2008-07-31,123.150
2008-08-01,120.450
2008-08-04,122.490
2008-08-05,117.450
2008-08-06,116.090
2008-08-07,115.380
2008-08-08,114.180
2008-08-11,113.190
2008-08-12,110.150
2008-08-13,109.600
2008-08-14,111.950
2008-08-15,108.000
2008-08-18,109.450
2008-08-19,107.950
2008-08-20,110.580
2008-08-21,112.200
2008-08-22,116.680
2008-08-25,111.280
2008-08-26,109.900
2008-08-27,111.250
2008-08-28,111.190
2008-08-29,110.550
2008-09-01,111.550
2008-09-02,101.380
2008-09-03,102.980
2008-09-04,104.500
2008-09-05,101.350
2008-09-08,101.500
2008-09-09,98.700
2008-09-10,97.600
2008-09-11,95.410
2008-09-12,95.250
2008-09-15,92.040
2008-09-16,86.150
2008-09-17,86.860
2008-09-18,87.820
2008-09-19,89.200
2008-09-22,94.200
2008-09-23,95.620
2008-09-24,96.420
2008-09-25,94.710
2008-09-26,95.300
2008-09-29,93.680
2008-09-30,87.660
2008-10-01,87.660
2008-10-02,89.250
2008-10-03,84.550
2008-10-06,79.450
2008-10-07,77.850
2008-10-08,74.350
2008-10-09,76.300
2008-10-10,71.650
2008-10-13,70.700
2008-10-14,73.550
2008-10-15,68.420
2008-10-16,61.620
2008-10-17,61.000
2008-10-20,62.700
2008-10-21,63.370
2008-10-22,59.630
2008-10-23,58.250
2008-10-24,56.420
2008-10-27,56.420
2008-10-28,55.020
2008-10-29,55.350
2008-10-30,60.410
2008-10-31,56.010
2008-11-03,60.420
2008-11-04,55.310
2008-11-05,59.270
2008-11-06,56.170
2008-11-07,54.020
2008-11-10,55.730
2008-11-11,52.860
2008-11-12,50.980
2008-11-13,47.150
2008-11-14,49.300
2008-11-17,47.750
2008-11-18,46.620
2008-11-19,45.850
2008-11-20,44.830
2008-11-21,42.850
2008-11-24,42.780
2008-11-25,45.900
2008-11-26,44.000
2008-11-27,47.110
2008-11-28,47.950
2008-12-01,47.390
2008-12-02,42.500
2008-12-03,41.840
2008-12-04,40.950
2008-12-05,39.000
2008-12-08,39.000
2008-12-09,39.850
2008-12-10,39.370
2008-12-11,39.930
2008-12-12,42.670
2008-12-15,43.750
2008-12-16,42.430
2008-12-17,43.550
2008-12-18,42.350
2008-12-19,40.500
2008-12-22,40.570
2008-12-23,37.350
2008-12-24,36.870
2008-12-25,36.870
2008-12-26,36.870
2008-12-29,36.740
2008-12-30,36.650
2008-12-31,36.400
2009-01-01,36.400
2009-01-02,42.920
2009-01-05,45.770
2009-01-06,48.480
2009-01-07,50.200
2009-01-08,45.720
2009-01-09,45.970
2009-01-12,44.220
2009-01-13,42.250
2009-01-14,45.000
2009-01-15,44.240
2009-01-16,45.280
2009-01-19,43.580
2009-01-20,40.570
2009-01-21,40.610
2009-01-22,42.120
2009-01-23,42.160
2009-01-26,42.160
2009-01-27,42.160
2009-01-28,42.450
2009-01-29,42.780
2009-01-30,44.020
2009-02-02,44.780
2009-02-03,42.770
2009-02-04,42.880
2009-02-05,43.480
2009-02-06,45.530
2009-02-09,45.130
2009-02-10,45.550
2009-02-11,44.630
2009-02-12,44.500
2009-02-13,44.430
2009-02-16,43.350
2009-02-17,42.680
2009-02-18,40.430
2009-02-19,40.170
2009-02-20,41.080
2009-02-23,41.350
2009-02-24,40.130
2009-02-25,41.400
2009-02-26,43.370
2009-02-27,44.160
2009-03-02,43.750
2009-03-03,41.420
2009-03-04,42.150
2009-03-05,44.150
2009-03-06,43.050
2009-03-09,43.880
2009-03-10,43.050
2009-03-11,43.100
2009-03-12,41.400
2009-03-13,44.000
2009-03-16,42.170
2009-03-17,43.750
2009-03-18,46.050
2009-03-19,46.560
2009-03-20,48.750
2009-03-23,49.550
2009-03-24,50.160
2009-03-25,50.050
2009-03-26,50.300
2009-03-27,50.740
2009-03-30,48.170
2009-03-31,46.695
2009-04-01,47.180
2009-04-02,48.430
2009-04-03,51.020
2009-04-06,52.845
2009-04-07,51.550
2009-04-08,49.330
2009-04-09,52.145
2009-04-10,52.145
2009-04-13,52.300
2009-04-14,51.110
2009-04-15,51.550
2009-04-16,51.650
2009-04-17,51.170
2009-04-20,50.970
2009-04-21,48.680
2009-04-22,48.650
2009-04-23,48.250
2009-04-24,49.080
2009-04-27,48.800
2009-04-28,48.100
2009-04-29,49.250
2009-04-30,50.050
2009-05-01,50.050
2009-05-04,52.610
2009-05-05,53.430
2009-05-06,54.170
2009-05-07,57.000
2009-05-08,56.880
2009-05-11,56.820
2009-05-12,57.450
2009-05-13,58.180
2009-05-14,56.530
2009-05-15,57.930
2009-05-18,55.920
2009-05-19,58.680
2009-05-20,58.600
2009-05-21,59.320
2009-05-22,59.530
2009-05-25,59.170
2009-05-26,58.630
2009-05-27,61.080
2009-05-28,61.280
2009-05-29,63.855
2009-06-01,66.420
2009-06-02,66.720
2009-06-03,67.830
2009-06-04,66.950
2009-06-05,69.170
2009-06-08,67.250
2009-06-09,69.250
2009-06-10,70.900
2009-06-11,71.190
2009-06-12,71.550
2009-06-15,70.850
2009-06-16,70.200
2009-06-17,70.250
2009-06-18,71.090
